Jahr;Landkreis;Brände;Hilfeleistungen;Einsätze (gesamt)
2013;Merzig-Wadern;187;594;781
2014;Merzig-Wadern;197;419;616
2015;Merzig-Wadern;209;367;576
2016;Merzig-Wadern;203;395;598
2017;Merzig-Wadern;240;552;792
2018;Merzig-Wadern;257;1.091;1348
2019;Merzig-Wadern;286;594;880
2020;Merzig-Wadern;283;572;855
2021;Merzig-Wadern;195;596;791
2022;Merzig-Wadern;268;508;776
2013;Neunkirchen, Saarland;248;497;745
2014;Neunkirchen, Saarland;292;496;788
2015;Neunkirchen, Saarland;263;493;756
2016;Neunkirchen, Saarland;263;789;1052
2017;Neunkirchen, Saarland;293;578;871
2018;Neunkirchen, Saarland;344;904;1248
2019;Neunkirchen, Saarland;372;639;1011
2020;Neunkirchen, Saarland;375;627;1002
2021;Neunkirchen, Saarland;289;648;937
2022;Neunkirchen, Saarland;423;765;1188
2013;Saarbrücken;720;1.477;2197
2014;Saarbrücken;736;1.630;2366
2015;Saarbrücken;788;1.656;2444
2016;Saarbrücken;735;2.289;3024
2017;Saarbrücken;802;2.118;2920
2018;Saarbrücken;795;2.453;3248
2019;Saarbrücken;827;1.924;2751
2020;Saarbrücken;897;2.081;2978
2021;Saarbrücken;870;1.845;2715
2022;Saarbrücken;926;2.018;2944
2013;Saarlouis;483;616;1099
2014;Saarlouis;268;745;1013
2015;Saarlouis;506;653;1159
2016;Saarlouis;468;885;1353
2017;Saarlouis;539;780;1319
2018;Saarlouis;535;1.201;1736
2019;Saarlouis;575;925;1500
2020;Saarlouis;564;795;1359
2021;Saarlouis;534;883;1417
2022;Saarlouis;691;1.219;1910
2013;Saarpfalz-Kreis;237;497;734
2014;Saarpfalz-Kreis;338;749;1087
2015;Saarpfalz-Kreis;375;683;1058
2016;Saarpfalz-Kreis;301;678;979
2017;Saarpfalz-Kreis;304;1.033;1337
2018;Saarpfalz-Kreis;327;1.891;2218
2019;Saarpfalz-Kreis;408;1.019;1427
2020;Saarpfalz-Kreis;346;985;1331
2021;Saarpfalz-Kreis;295;1.117;1412
2022;Saarpfalz-Kreis;359;1.245;1604
2013;Sankt Wendel;251;506;757
2014;Sankt Wendel;173;306;479
2015;Sankt Wendel;234;334;568
2016;Sankt Wendel;232;454;686
2017;Sankt Wendel;225;401;626
2018;Sankt Wendel;199;723;922
2019;Sankt Wendel;278;566;844
2020;Sankt Wendel;283;438;721
2021;Sankt Wendel;239;434;673
2022;Sankt Wendel;269;605;874
