Unnamed: 0,name,business_status,geometry/location/lat,geometry/location/lng,vicinity,place_id,skills,team_size,availability,open_status_throughout_week,open_day,open_hour_monday_start,open_hour_monday_end,open_hour_tuesday_start,open_hour_tuesday_end,open_hour_wednesday_start,open_hour_wednesday_end,open_hour_thursday_start,open_hour_thursday_end,open_hour_friday_start,open_hour_friday_end,open_hour_saturday_start,open_hour_saturday_end,open_hour_sunday_start,open_hour_sunday_end
0,Feuerwache I u. Krankentransp.,OPERATIONAL,49.2369213,7.0079913,"Hessenweg 7, Saarbrücken",ChIJZ9iI1KG2lUcRWbkIoVAF40k,"['firefighting', 'technical rescue', 'emergency medical', 'hazardous materials']",5,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",False,Monday,09:00,23:59,00:00,22:00,00:00,19:00,17:00,23:59,20:00,00:00,22:00,23:59,00:00,23:59
1,Freiwillige Feuerwehr Saarbrücken - Löschbezirk 13 St. Johann,OPERATIONAL,49.2396675,7.005246700000001,"Fichtestraße 36, Saarbrücken",ChIJMdgB16O2lUcRUWc3T7z26Ho,"['hazardous materials', 'technical rescue']",1,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",False,Saturday,02:00,23:59,00:00,23:00,00:00,23:59,10:00,21:00,00:00,19:00,17:00,23:59,20:00,23:59
2,Feuerwehr St. Arnual,OPERATIONAL,49.2185808,7.0170995,"Arnulfstraße 15, Saarbrücken",ChIJgXpJsjC0lUcRZO26p7zUV6E,"['hazardous materials', 'emergency medical']",1,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",True,Wednesday,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59
3,"Freiwillige Feuerwehr Saarbrücken, Löschbezirk 22 Brebach",OPERATIONAL,49.2172118,7.0297864,"Saarbrücker Str. 20, Saarbrücken",ChIJh48BXcu1lUcRbSOeYvAHCIM,"['firefighting', 'emergency medical', 'hazardous materials', 'technical rescue']",3,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",True,Wednesday,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59
4,Freiwillige Feuerwehr Alt-Saarbrücken - Löschbezirk 11,OPERATIONAL,49.23382429999999,6.9747886,"Heuduckstraße 78, Saarbrücken",ChIJ8exizP2zlUcRb_4cgy42T4k,['technical rescue'],2,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",False,Friday,02:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,04:00,22:00,00:00,02:00,23:59
5,Freiw. Feuerwehr Sbr.-Schafbrücke Gerätehaus,OPERATIONAL,49.2304273,7.0506971,"Hirschbergstraße 12, Saarbrücken",ChIJUd8LSt-1lUcR7sZ9OmzpVgQ,"['technical rescue', 'emergency medical', 'hazardous materials', 'firefighting']",5,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",True,Thursday,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59
6,Freiwillige Feuerwehr Scheidt,OPERATIONAL,49.2489303,7.053508799999999,"Schulstraße 10, Saarbrücken",ChIJTWF7Ig63lUcRx5AaN9pfLAA,['firefighting'],9,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",False,Thursday,00:00,23:59,00:00,20:00,00:00,23:59,00:00,19:00,00:00,23:59,00:00,00:00,00:00,22:00
7,Feuerwehr Güdingen,OPERATIONAL,49.2000821,7.027868499999999,"Saargemünder Str. 132A, Saarbrücken",ChIJfe0Bra21lUcRoXgkCBYEq0E,"['hazardous materials', 'technical rescue', 'emergency medical']",1,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",False,Tuesday,09:00,12:00,03:00,21:00,06:00,19:00,00:00,19:00,21:00,23:59,23:00,23:59,00:00,17:00
8,Freiwillige Feuerwehr Malstatt-Burbach,OPERATIONAL,49.23906419999999,6.9569462,"Heinrich-Barth-Straße 22, Saarbrücken",ChIJX6WJQ2CxlUcR6ExoE6df1oU,['firefighting'],6,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",False,Wednesday,00:00,14:00,00:00,22:00,00:00,23:59,05:00,23:59,18:00,23:59,19:00,23:59,00:00,00:00
9,Feuerwehrgerätehaus Jägersfreude,OPERATIONAL,49.2691232,7.007096,"Mozartstraße 14, Saarbrücken",ChIJc9aTPSa3lUcRu01gbRaBFxA,"['firefighting', 'emergency medical', 'technical rescue']",7,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",True,Sunday,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59
10,Berufsfeuerwehr Saarbrücken Wache 2,OPERATIONAL,49.2449119,6.956771,"Weißenburger Str. 17, Saarbrücken",ChIJJSxE_WaxlUcRjr_hJkJ1kXQ,['firefighting'],4,"opens on Monday
Monday	08:00 - 17:00
Tuesday	08:00 - 14:00
Wednesday	08:00 - 17:00
Thursday	08:00 - 17:00
Friday	08:00 - 12:30",True,Saturday,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59
